云南移动
央视频道,#genre#
华坪综合,http://39.130.202.76:6610/gitv_live/G_HUAPING/G_HUAPING.m3u8
文山新闻,http://39.130.202.76:6610/gitv_live/G_WENSHANXW/G_WENSHANXW.m3u8
文山公共,http://39.130.202.76:6610/gitv_live/G_WENSHANGG/G_WENSHANGG.m3u8
马关综合,http://live.ynurl.com/video/s10046-001/index.m3u8
麻栗坡台,http://39.130.202.76:6610/gitv_live/G_MALIPO/G_MALIPO.m3u8
富宁综合,http://39.130.202.76:6610/gitv_live/G_FUNING/G_FUNING.m3u8
丘北综合,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel14/playlist.m3u8
西畴综合,http://39.130.202.76:6610/gitv_live/G_XICHOU/G_XICHOU.m3u8
广南综合,http://live.ynurl.com/video/s10031-gnxgbds/index.m3u8
文山市台,http://183.224.96.125:9000/TV/0/00000001000000050000000000000195/198.m3u8
砚山综合,http://live.ynurl.com/video/s10020-ystv/index.m3u8
玉溪新闻,http://39.130.202.76:6610/gitv_live/G_YUXIXW/G_YUXIXW.m3u8
玉溪公共,http://39.130.202.76:6610/gitv_live/G_YUXIGG/G_YUXIGG.m3u8
江川综合,http://39.130.202.76:6610/gitv_live/G_JIANGCHUAN/G_JIANGCHUAN.m3u8
新平综合,http://39.130.202.76:6610/gitv_live/G_XINPING/G_XINPING.m3u8
元江综合,http://39.130.202.76:6610/gitv_live/G_YUANJIANG/G_YUANJIANG.m3u8
红塔区台,http://39.130.202.76:6610/gitv_live/G_HONGTA/G_HONGTA.m3u8
澄江综合,http://39.130.202.76:6610/gitv_live/G_CHENGJIANG/G_CHENGJIANG.m3u8
通海综合,http://39.130.202.76:6610/gitv_live/G_TONGHAI/G_TONGHAI.m3u8
峨山综合,http://39.130.202.76:6610/gitv_live/G_ESHAN/G_ESHAN.m3u8
华宁综合,http://39.130.202.76:6610/gitv_live/G_HUANING/G_HUANING.m3u8
易门综合,http://zb-live.ynurl.com/live/ym927.m3u8

体育频道,#genre#
吉林篮球,http://223.110.254.137:6610/gitv/live1/G_LANQIU/1.m3u8
江苏体育,http://223.110.254.137:6610/gitv/live1/G_JSTY/G_JSTY.m3u8
金鹰纪实,http://39.130.202.76:6610/gitv_live/G_JINYINGJS-HD/G_JINYINGJS-HD.m3u8
冬奥纪实,http://39.130.202.76:6610/gitv_live/G_BEIJINGJS-HD/G_BEIJINGJS-HD.m3u8
纪实人文,http://39.130.202.76:6610/gitv_live/G_SHANGHAIJS-HD/G_SHANGHAIJS-HD.m3u8
山东教育,http://39.130.202.76:6610/gitv_live/G_SDETV/G_SDETV.m3u8
数码时代,http://yd-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8

少儿频道,#genre#
金鹰卡通,http://39.130.202.76:6610/gitv_live/G_JINYING/G_JINYING.m3u8
哈哈炫动,http://39.130.202.76:6610/gitv_live/G_XUANDONG/G_XUANDONG.m3u8
优漫卡通,http://39.130.202.76:6610/gitv_live/G_YOUMAN/G_YOUMAN.m3u8
嘉佳卡通,http://39.130.202.76:6610/gitv_live/G_JIAJIA/G_JIAJIA.m3u8
卡酷少儿,http://39.130.202.76:6610/gitv_live/G_KAKU/G_KAKU.m3u8
弈坛春秋,http://223.110.254.137:6610/gitv/live1/G_YITANCQ/G_YITANCQ.m3u8
国学频道,http://223.110.254.137:6610/gitv/live1/G_GUOXUE/G_GUOXUE.m3u8
家庭理财,http://223.110.254.137:6610/gitv/live1/G_JIATINGLC/G_JIATINGLC.m3u8
置业频道,http://223.110.254.137:6610/gitv/live1/G_ZHIYE/G_ZHIYE.m3u8
京视剧场,http://223.110.254.137:6610/gitv/live1/G_JINGJU/G_JINGJU.m3u8

港台频道,#genre#
凤凰中文,http://223.110.236.10/ott.js.chinamobile.com/PLTV/3/224/3221228057/index.m3u8
凤凰资讯,http://223.110.235.4/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
